geographic_group;country;children_per_woman_total_fertility;child_mortality_0_5_year_olds_dying_per_1000_born;co2_emissions_tonnes_per_person;corruption_perception_index_cpi;life_expectancy_years;vccin_effect_dag
Europe;Romania;1.51;9.21;3.91;46;75.1;0.156
Europe;Russia;-10;8.53;11.2;29;71.3;0.184
;Rwanda;3.97;41.3;0.0816;54;67.7;
Eastern Mediterranean;Saudi Arabia;2.58;8.54;19.6;52;76.2;0.024
Africa;Senegal;-10;50.1;0.695;44;67.5;
Europe;Serbia;-10;6.28;4.93;40;75.1;0.141
;Sierra Leone;4.56;122;0.126;29;58.5;
South-Eastern Asia;Singapore;1.24;2.72;11;85;84.4;
Europe;Slovak Republic;1.43;6.06;6.35;51;76.7;
Europe;Slovenia;-10;2.48;6.58;60;80.8;0.164
Africa;South Africa;2.49;37.7;8.35;44;63.4;0.099
;South Korea;1.28;3.5;11.7;54;82.3;0.064
Europe;Spain;1.35;3.28;5.81;58;82.6;0.071
;Sri Lanka;2.06;8.75;0.949;37;76.9;
Europe;Sweden;1.91;2.87;4.41;89;82.2;0.059
Europe;Switzerland;1.54;4.32;4.67;86;83.5;
;Tajikistan;3.4;37.9;0.574;26;70.2;
;Tanzania;5.08;59.1;0.244;30;65.6;
South-Eastern Asia;Thailand;1.5;10.5;4.1;38;78.2;0.065
Africa;Togo;4.52;76.8;0.369;32;62.8;
Eastern Mediterranean;Tunisia;2.22;17.2;2.62;38;77.9;0.043
Europe;Turkey;2.07;12.6;4.86;42;78.3;0.083
;Turkmenistan;2.93;50.7;12.6;18;69.8;
;Uganda;5.68;54.8;0.133;25;64.5;
Europe;Ukraine;1.53;9.5;4.99;27;69.2;0.154
;United Arab Emirates;-10;7.83;20.7;70;73.1;
Europe;United Kingdom;-10;4.45;6.42;81;81;0.07
Americas;United States;1.93;6.8;16.9;76;78.8;0.096
Americas;Uruguay;2.01;8.85;1.94;74;77;
;Uzbekistan;2.31;25.9;3.31;19;69.9;
Western Pacific;Vietnam;1.96;21.8;1.95;31;74.3;0.046
;Zambia;5.04;64.6;0.271;38;62;
Africa;Zimbabwe;3.84;54.3;0.881;21;59.6;
